"Cycle"  "Average State"  "Average Threshold"  "Clusters"
   711   -0.0153    0.1380      6587
   712   -0.0409    0.1247      6575
   713   -0.0606    0.1070      6530
   714   -0.0743    0.0866      6114
   715   -0.0816    0.0650      5818
   716   -0.0866    0.0430      5419
   717   -0.0922    0.0194      5259
   718   -0.0988   -0.0061      5277
   719   -0.1064   -0.0336      5477
   720   -0.1130   -0.0628      6080
   721   -0.1149   -0.0920      6642
   722   -0.1066   -0.1184      7354
   723   -0.0885   -0.1382      7078
   724   -0.0640   -0.1519      6645
   725   -0.0373   -0.1582      6786
   726   -0.0099   -0.1575      6770
   727    0.0168   -0.1492      6264
   728    0.0399   -0.1360      6072
   729    0.0612   -0.1182      5722
   730    0.0786   -0.0962      5347
   731    0.0949   -0.0705      5111
   732    0.1074   -0.0420      5139
   733    0.1177   -0.0109      5296
   734    0.1265    0.0219      5512
   735    0.1349    0.0562      5575
   736    0.1377    0.0918      5310
   737    0.1325    0.1247      5505
   738    0.1166    0.1524      6255
   739    0.0902    0.1717      6495
   740    0.0589    0.1831      6605
   741    0.0240    0.1846      6677
   742   -0.0095    0.1780      6657
   743   -0.0416    0.1634      6460
   744   -0.0703    0.1419      6039
   745   -0.0929    0.1156      5802
   746   -0.1115    0.0854      5490
   747   -0.1259    0.0520      5377
   748   -0.1366    0.0166      5435
   749   -0.1433   -0.0199      5466
   750   -0.1476   -0.0575      5827
   751   -0.1460   -0.0937      6501
   752   -0.1353   -0.1263      7134
   753   -0.1147   -0.1523      7104
   754   -0.0857   -0.1700      6692
   755   -0.0523   -0.1784      6633
   756   -0.0191   -0.1791      6917
   757    0.0157   -0.1711      6634
   758    0.0488   -0.1547      5785
   759    0.0748   -0.1325      5496
   760    0.0945   -0.1061      5159
   761    0.1077   -0.0771      5020
   762    0.1160   -0.0475      5044
   763    0.1220   -0.0159      5105
   764    0.1262    0.0162      5361
   765    0.1268    0.0479      5723
   766    0.1243    0.0793      5560
   767    0.1141    0.1065      5409
   768    0.0947    0.1284      6087
   769    0.0682    0.1424      6822
   770    0.0384    0.1489      7023
   771    0.0110    0.1484      6717
   772   -0.0153    0.1412      6653
   773   -0.0380    0.1287      6081
   774   -0.0573    0.1119      5900
   775   -0.0722    0.0921      5674
   776   -0.0833    0.0695      5417
   777   -0.0909    0.0458      5302
   778   -0.0964    0.0207      5278
   779   -0.1004   -0.0046      5458
   780   -0.1024   -0.0305      5500
   781   -0.1043   -0.0568      6573
   782   -0.1019   -0.0821      7327
   783   -0.0915   -0.1041      7294
   784   -0.0735   -0.1203      6783
   785   -0.0519   -0.1300      6719
   786   -0.0304   -0.1344      6631
   787   -0.0086   -0.1340      6173
   788    0.0111   -0.1289      6039
   789    0.0293   -0.1199      5759
   790    0.0449   -0.1068      5577
   791    0.0568   -0.0911      5305
   792    0.0690   -0.0725      5361
   793    0.0790   -0.0521      5134
   794    0.0892   -0.0284      5354
   795    0.1003   -0.0027      5558
   796    0.1098    0.0260      5619
   797    0.1149    0.0555      5293
   798    0.1111    0.0826      5798
   799    0.0961    0.1047      6733
   800    0.0729    0.1204      7136
   801    0.0514    0.1305      6785
   802    0.0307    0.1357      6578
   803    0.0106    0.1358      5952
   804   -0.0112    0.1308      5818
   805   -0.0335    0.1194      5885
   806   -0.0541    0.1029      5668
   807   -0.0706    0.0831      5210
   808   -0.0853    0.0605      5066
   809   -0.0999    0.0337      5238
   810   -0.1115    0.0043      5678
   811   -0.1212   -0.0271      6355
   812   -0.1260   -0.0595      7350
   813   -0.1226   -0.0905      7905
   814   -0.1065   -0.1148      7435
